Duration,MWh,$/kW/yr,Cycles
1h,100,39.445303487254456,353.96133718899654
2h,200,66.2960264040856,465.0675156181788
4h,400,94.40895239676233,609.3072273033405
6h,600,108.66969636175486,695.2982629639206
8h,800,117.02585265675383,759.7466094403484
