RTE,$/kW/yr,Cycles
0.8,90.37752571104274,529.9715943140242
0.85,93.24585247996396,585.2584940131596
0.87,94.40895239676233,609.3072273033405
0.9,96.19036107333072,649.4595158649008
0.95,99.25981179040791,719.9445101684958
